Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Facebook,Contact Email,Phone Number,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Similar Companies,Trend Score (90 Days),Patents Granted,Most Popular Patent Class,Trademarks Registered,Most Popular Trademark Class
Musa,https://www.crunchbase.com/organization/musa-49c8,,"Information Technology, Software","São Paulo, Sao Paulo, Brazil","Musa is a B2B technology company that helps businesses with waste management services including, collection, disposal and monitoring.","30,758",Latin America,,$1M to $10M,Active,2020-01-01,year,,,,,For Profit,https://musa.co/,https://www.linkedin.com/company/musa-wms/mycomp,https://web.facebook.com/impactomusa/?ref=page_internal,MARTIN@MUSA.CO,5511994592992,"Musa is a smart city solution providing a platform that efficiently connects waste generators, haulers, and recyclers. Our mission is to guarantee that all waste becomes raw material directed to a productive chain of reuse. This is what connects us, a world without waste where everything can be reused. We want to transform the waste management industry by leveraging technology and developing new business models ensuring economic, social, and environmental impact.",,,,,,,,,,,,"Information Technology, Software",2,"Fabrício Guimarães, Martin Junck",101-250,2,Early Stage Venture,2021-10-01,15000000,USD,15000000,Series A,15000000,USD,15000000,Series A,18500000,USD,18500000,18500000,USD,18500000,"Global Founders Capital, Kaszek, Endurance28, Silence VC, Norte Ventures",3,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,4,,,,
Dive,https://www.crunchbase.com/organization/dive-solutions,,"Manufacturing, SaaS, Software","Berlin, Berlin, Germany",Simulation software to help engineers to focus on just engineering (Enterprise SaaS).,"31,089","European Union (EU), Europe, Middle East, and Africa (EMEA)",10625,$1M to $10M,Active,2018-06-01,month,,,,,For Profit,https://www.dive-solutions.de/,https://www.linkedin.com/company/dive-solutions/,,info@dive-solutions.de,,The world is facing challenges that can only be solved with the help of innovation in mechanical engineering. But old-fashioned and tedious engineering software unnecessarily decellerates product design cycles.  We provide simulation software via SaaS that predicts the technical behavior of 3D design concepts - leveraging our own defensible simulation technology to unlock various new engineering applications.  Our core value proposition: We help engineering to focus on just engineering.,,,,,,,,,,,,"Manufacturing, Software",4,"Felix Pause, Johannes Gutekunst, Maik Störmer, Pierre Sabrowski",11-50,3,Early Stage Venture,2024-06-05,10000000,USD,10000000,Series A,10000000,USD,10000000,Series A,10000000,USD,10000000,10000000,USD,10000000,"D. E. Shaw & Co., First Momentum Ventures, Senovo, Segenia Capital",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,1,1.7,,,,
Relief,https://www.crunchbase.com/organization/relief-app,,"Apps, Finance, Financial Services","Miami, Florida, United States",Relief is a mobile app that delivers on debt-elimination commitment.,"31,918","Greater Miami Area, East Coast, Southern US",33131,,Active,2020-10-15,day,,,,,For Profit,https://www.relief.app/,https://www.linkedin.com/company/reliefapp,,careers@relief.app,(954) 361-2586,"Relief is a mobile app that delivers on debt-elimination commitment. They aim to become the company that people come to for help getting back in the black. By developing products and services that are simple, effective, and easy to use, they will make financial relief accessible to those who need it.",,,,,,,,,,,,"Apps, Financial Services, Software",3,"Bryan Okeke, Jason Saltzman, Ram Berrouet",11-50,3,Early Stage Venture,2022-02-17,15000000,USD,15000000,Series A,15000000,USD,15000000,Series A,17000000,USD,17000000,17000000,USD,17000000,"Everywhere Ventures, Animal Capital, Brand Foundry Ventures, Collaborative Fund, Interplay",,8,,,,,,,,,,,,,,Private,,,,,,,,,,,,,8,0,,,,
ACBC,https://www.crunchbase.com/organization/acbc,,"Consulting, E-Commerce, Fashion, Management Consulting, Product Design, Product Management, Retail, Sustainability","Milan, Lombardia, Italy",ACBC is a B2B sustainability consulting firm that specializies in fashion and textile industries sector.,"38,678","European Union (EU), Europe, Middle East, and Africa (EMEA)",20154,$1M to $10M,Active,2017-11-21,day,2025-04-17,day,,,For Profit,https://acbc.com/,https://www.linkedin.com/company/acbcshoes/,https://www.facebook.com/acbc.official,ciao@acbc.com,+39 02 49453090,"The company’s business model is oriented both to the B2B market and to the B2C and suppliers in the Fashion, Sportswear, Lifestyle, Hôtellerie, Wine & Spirits and Food & Beverage sectors.",,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design, Other, Professional Services, Sustainability",3,"Edoardo Iannuzzi, Gio Giacobbe, Riccardo Aragona",11-50,4,M&A,2022-04-01,740000,EUR,817589,Equity Crowdfunding,740000,EUR,817589,Equity Crowdfunding,4690000,EUR,5457576,4690000,EUR,5457576,"Club degli Investitori, Boost Heroes, Doorway, Doorway Capital, GIREFIN SPA",1,22,,Was Acquired,ACBC acquired by Gyrus Capital,https://www.crunchbase.com/acquisition/gyrus-capital-acquires-acbc--3f4b6e44,Gyrus Capital,https://www.crunchbase.com/organization/gyrus-capital,2025-04-17,day,,,,Acquisition,,Private,,,,,,,,,,,,,17,4.6,,,,
Easy Eat,https://www.crunchbase.com/organization/easy-eat,,"Artificial Intelligence (AI), Food and Beverage, SaaS, Software","Singapore, Central Region, Singapore",Easy Eat is a new Artificial Intelligence-powered foodtech startup.,"38,923","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",068914,$1M to $10M,Active,2019-01-01,day,,,,,For Profit,https://easyeat.ai/,https://www.linkedin.com/company/easyeatai/,,,+60  1121151875,"Easy Eat is a tech solution for such consumers. Using our solution in-dining guests can browse menus online, search for items, and review descriptions and nutrition values. They can also place and track orders, make payments through an integrated interface and keep a record of their dining history. Restaurants can save time and money and better manage the footfall. They will also have access to advanced user analytics, something like Google Analytics. It will give a fillip to their marketing intelligence, customer strategy and business efficiency.",,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Science and Engineering, Software",4,"Abdul Khalid, Alok Ranjan, Mohd Wassem, Rhythm Gupta",51-100,4,Early Stage Venture,2021-07-14,5000000,USD,5000000,Series A,5000000,USD,5000000,Series A,5000000,USD,5000000,5000000,USD,5000000,"Newchip Accelerator, Aroa Venture Partners, Esas Ventures, Manik Gupta, Maninder Gulati",1,12,,,,,,,,,,,,,,Private,,,,,,,,,,,,,10,0,,,,
Yolo Bank,https://www.crunchbase.com/organization/yolo-bank,,"Banking, Financial Services, FinTech, SaaS",,"Yolo Bank combines artificial intelligence for default predictability, personal accounts for students and Saas for universities.","40,378",,,,Active,2023-02-12,day,,,,,For Profit,https://yolobank.com.br/,https://www.linkedin.com/company/yolobank,,contato@yolobank.com.br,,Yolo Bank is a fintech company that uses artificial intelligence to help universities minimize tuition defaults. This approach increases revenue for educational institutions and benefits students. We offer a SaaS for bad debt management and a dedicated digital account for students to manage their monthly payments.,,,,,,,,,,,,"Financial Services, Lending and Investments, Software",1,Mauro Macedo,1-10,1,Seed,2024-09-12,500000,USD,500000,Pre-Seed,500000,USD,500000,Pre-Seed,500000,USD,500000,500000,USD,500000,"Marathon Ventures, Wilson Sonsini Goodrich & Rosati",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,12,0,,,,
Oval Money,https://www.crunchbase.com/organization/oval-money,,"Apps, Finance, Financial Services, FinTech, Mobile","London, England, United Kingdom",Oval offers an app for financial coaching and planning that helps people save according to their rules.,"40,825","Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2016-01-01,year,2021-05-14,day,,,For Profit,http://www.ovalmoney.com,https://www.linkedin.com/organization/7586592,https://www.facebook.com/ovalmoneyIT,hello@ovalmoney.com,,"Oval is a platform designed to tackle the global issue of financial literacy by empowering people to be wiser about their money. Oval helps users save quickly and effectively, by teaching them to monitor spending habits and by making savings automatic. The app also leverages a community experience to make saving more dynamic. They have consulted the brightest minds in personal finance and behavioural economics to develop the artificial intelligence that guides users to better spending and to making regular contributions to their secure digital savings account. With no hidden fees and robust privacy controls, Oval brings trust back into personal finance and opens it to everyone. Oval was launched in 2016, and is based in London, UK and Turin, Italy. The team is committed to driving education, fairness, and financial inclusion in the industry.  Learn more at http://www.ovalmoney.com",,,,,,,,,,,,"Apps, Financial Services, Mobile, Software",3,"Benedetta Arese Lucini, Claudio Bedino, Edoardo Benedetto",101-250,8,M&A,2019-11-23,1318338,GBP,1692086,Equity Crowdfunding,1318338,GBP,1692086,Equity Crowdfunding,11068712,USD,11068712,11125415,USD,11125415,"Intesa Sanpaolo, Gruppo Bertoldi, CheBanca!, b-ventures, Neva Finventures",5,9,,Was Acquired,Oval Money acquired by ETX Capital,https://www.crunchbase.com/acquisition/etx-capital-acquires-oval-money--957247f5,ETX Capital,https://www.crunchbase.com/organization/etx-capital,2021-05-14,day,,,,Acquisition,,Private,,,,,,,,,,,,,12,0.1,,,,
Voovio,https://www.crunchbase.com/organization/voovio-aka-3ditize,,"3D Technology, Industrial, Mobile, Photography, Software, Virtual Reality","Alcobendas, Madrid, Spain",Voovio's Knowledge Automation platform enables the process industry to boost productivity & reduce downtime in plants.,"41,293","European Union (EU), Europe, Middle East, and Africa (EMEA)",20018,$1M to $10M,Active,2008-04-01,day,,,,,For Profit,http://www.voovio.com,http://www.linkedin.com/company/1815882,,info@voovio.com,,"Voovio’s patented technology enables process industry leaders to increase ROI, enhancing asset availability by influencing workforce readiness and capacity. Voovio’s simulation software makes it easy for the process industry workforce to become productive faster, making SMEs expertise and the plant available 24/7 and standardizing knowledge during the entire operator lifecycle. Trusted by Suncor, Total, Chevron Phillips, DuPont and BASF - Voovio is saving plants across the globe millions of dollars per year in avoided incidents.",,,,,,,,,,,,"Content and Publishing, Hardware, Manufacturing, Media and Entertainment, Mobile, Software",3,"Fernando Alonso, Jaime Aguilera, JB Gomez",11-50,8,,2024-05-22,,,,Venture - Series Unknown,,,,Venture - Series Unknown,32007620,USD,32007620,32007620,USD,32007620,"Centre for the Development of Industrial Technology (CDTI), Moira Capital Partners, MOIRA CAPITAL DESARROLLO KAPPA, SICC",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,5,1,0,,4,Scientific and electric apparatus and instruments
Xceed,https://www.crunchbase.com/organization/xceed-me,,"Apps, Big Data, Events, Media and Entertainment, Mobile, Nightlife, SaaS","Barcelona, Catalonia, Spain",Xceed's mission is to bring people together to live memorable going out experiences.,"42,456","European Union (EU), Europe, Middle East, and Africa (EMEA)",08018,$1M to $10M,Active,2014-04-10,day,,,,,For Profit,http://xceed.me,http://www.linkedin.com/company/xceed-org-,http://www.facebook.com/xceed,info@xceed.me,+34934636325,"Xceed disrupts the nightlife industry by providing a cloud solution for both consumers -to browse & join events-, and businesses -to better manage & promote them-. In contrast with its competitors, Xceed is the first platform to offer an all-in-one solution integrating events? browsing, ticketing, management and real time analytics. All this while funding charitable projects one event at a time.",,,,,,,,,,,,"Apps, Data and Analytics, Events, Media and Entertainment, Mobile, Software",3,"Davide Villano, Luca Papaleo, Mattia Franco",11-50,4,,2022-11-22,2000000,EUR,2062196,Venture - Series Unknown,2000000,EUR,2062196,Venture - Series Unknown,4550000,EUR,4885488,4800000,EUR,5146827,"Superhero Capital, Trind Ventures, 360 Capital, Best Nights VC, Andreas Mihalovits",2,8,,,,,,,,,,,,,,Private,,,,,,,,,,,,,329,-0.8,,,,
Orchestra Group,https://www.crunchbase.com/organization/orchestra-group,,"Artificial Intelligence (AI), Cyber Security, Information Technology, Network Security","Tel Aviv, Tel Aviv, Israel",Orchestra have created a broad cyber security platform by acquiring a variety of cyber companies and rolling them up into a unified solution,"45,555","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",,,Active,2018-07-01,month,,,,,For Profit,https://orchestragroup.com,https://www.linkedin.com/company/theorchestragroup/,,info@orchestra.group,,Orchestra Group is an AI based Cyber Resilience and Risk Management platform,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",3,"Isaac Zack, Jacob Ukelson, Omri Lavie",51-100,2,Early Stage Venture,2022-01-01,10000000,USD,10000000,Series A,10000000,USD,10000000,Series A,20000000,USD,20000000,20000000,USD,20000000,"Target Global, PRYTEK",1,2,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,5,0,,,,
Pasta Evangelists,https://www.crunchbase.com/organization/pasta-evangelists,,"Food and Beverage, Food Delivery, Restaurants","London, England, United Kingdom",Pasta Evangelists is freshly made by Italian hands every day.,"48,401","Europe, Middle East, and Africa (EMEA)",E2 8NG,$10M to $50M,Active,2016-01-01,year,2021-01-14,day,,,For Profit,https://pastaevangelists.com/,https://www.linkedin.com/company/pastaevangelists/?originalSubdomain=in,https://www.facebook.com/pastaevangelists/,chef@pastaevangelists.com,+44 7531 044662,"Pasta Evangelists delivers fresh pasta recipe boxes across the U.K. We invite Brits to prepare restaurant-quality pasta in minutes, bringing the authentic tastes of Italy to homes across the country.",,,,,,,,,,,,"Food and Beverage, Transportation",4,"Alessandro Savelli, Chris Rennoldson, Finn Lagun, James McArthur",251-500,3,M&A,2020-02-01,3500000,GBP,4621609,Series B,3500000,GBP,4621609,Series B,5200000,GBP,6792111,5200000,GBP,6792111,"Guinness Ventures, Pembroke VCT, Giacomo Alpago, Venture Capital Trust, Giuseppe Ugolotti Verdoni",3,5,,Was Acquired,Pasta Evangelists acquired by Barilla Group,https://www.crunchbase.com/acquisition/barilla-group-acquires-pasta-evangelists--f626bc37,Barilla Group,https://www.crunchbase.com/organization/barilla-group,2021-01-14,day,,,,Acquisition,,Private,,,,,,,,,,,,,10,1.9,0,,7,Meats and prepared or preserved foods; dairy products
Webidoo,https://www.crunchbase.com/organization/webidoo,,"Advertising, Digital Marketing, Marketing, Marketing Automation, SaaS","Milan, Lombardia, Italy",Developer of digital marketing platform intended to simplify and accelerate the digital transformation and make it accessible to everyone.,"49,009","European Union (EU), Europe, Middle East, and Africa (EMEA)",20124,$1M to $10M,Active,2017-10-17,day,,,,,For Profit,http://www.webidoo.com,https://www.linkedin.com/company/webidoo,https://www.facebook.com/webidoo/,hello@webidoo.com,+3902800122,"Developer of digital marketing platform intended to simplify and accelerate the digital transformation and make it accessible to everyone. The company platform offers services such as website design and implementation, e-commerce, geolocation, online advertising, social media, booking services, newsletters, and blogs as well as general data protection regulation compliance, cloud services, and e-mail management, encompassing diverse industries, with a special focus on facilitating the digital transformation of small and medium businesses, enabling local businesses to have a digital presence with a single point of contact, addressing any aspect of the customers' digital activity. Webidoo is dedicated to partnering with local businesses. We’re here to give the solutions you need to connect with customers, wherever they may be. Our clients include businesses of every type: restaurants, attorneys, builders, doctors, delicatessens, electricians and many others. We can provide solutions that allow companies to connect with their customers, real and potential, like never before. We’re all about supporting local businesses. And we feel good about that.",,,,,,,,,,,,"Advertising, Sales and Marketing, Software",3,"Daniel Rota, Egidio Murru, Giovanni Farese",11-50,1,Early Stage Venture,2021-07-30,6000000,EUR,7120335,Series A,6000000,EUR,7120335,Series A,6000000,EUR,7120335,6000000,EUR,7120335,"TIM Ventures, 8a+ Investments SGR",1,2,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,14,-0.3,0,,6,Scientific and electric apparatus and instruments
